Name,Author,Rating,Reviews,Price,Year,Genre,User Rating
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,,4628,7,2010,Fiction,4.8
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,,4506,14,2010,Fiction,4.8
The Official SAT Study Guide,The College Board,,1201,40,2010,Non Fiction,4.4
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,,2186,12,2010,Fiction,4.6
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,,1204,14,2010,Non Fiction,4.6
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,,2122,0,2010,Fiction,4.6
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,,3796,12,2010,Fiction,4.8
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,,3319,11,2010,Non Fiction,4.3
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,,2282,21,2010,Fiction,4.8
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,,29673,16,2010,Non Fiction,4.8
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,,1302,11,2010,Non Fiction,4.2
11/22/63: A Novel,Stephen King,,2052,22,2011,Fiction,4.6
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,,12643,11,2011,Fiction,4.4
A Stolen Life: A Memoir,Jaycee Dugard,,4149,32,2011,Non Fiction,4.6
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,,4505,0,2011,Fiction,4.8
Catching Fire (The Hunger Games),Suzanne Collins,,22614,11,2011,Fiction,4.7
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,,1542,14,2011,Non Fiction,4.7
Cutting for Stone,Abraham Verghese,,4866,11,2011,Fiction,4.6
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,,2094,4,2011,Fiction,4.2
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,,6346,9,2011,Non Fiction,4.5
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,,5594,5,2011,Fiction,4.6
Go the F**k to Sleep,Adam Mansbach,,9568,9,2011,Fiction,4.8
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,3457,14,2011,Non Fiction,4.5
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,,15779,10,2011,Non Fiction,4.7
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,,4571,21,2011,Non Fiction,4.4
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,,5299,20,2011,Fiction,4.6
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,19576,8,2011,Non Fiction,4.9
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,,9342,10,2011,Non Fiction,4.7
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,,1649,13,2011,Non Fiction,4.2
Mockingjay (The Hunger Games),Suzanne Collins,,26741,8,2011,Fiction,4.5
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,,3163,13,2011,Non Fiction,4.6
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,,8580,46,2011,Non Fiction,4.5
Radical: Taking Back Your Faith from the American Dream,David Platt,,1985,9,2011,Non Fiction,4.7
Steve Jobs,Walter Isaacson,,7827,20,2011,Non Fiction,4.6
StrengthsFinder 2.0,Gallup,,5069,17,2011,Non Fiction,4.0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,,637,20,2011,Non Fiction,4.4
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,,2314,22,2011,Non Fiction,4.3
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,,4587,21,2011,Non Fiction,4.3
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,,3477,28,2011,Non Fiction,4.7
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,9325,24,2011,Non Fiction,4.6
The Art of Racing in the Rain: A Novel,Garth Stein,,11813,10,2011,Fiction,4.7
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,,4633,21,2011,Non Fiction,4.7
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,,2023,15,2011,Non Fiction,4.1
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,3207,6,2011,Non Fiction,4.6
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,,7747,14,2011,Fiction,4.7
The Help,Kathryn Stockett,,13871,8,2011,Fiction,4.8
The Help,Kathryn Stockett,,13871,7,2011,Fiction,4.8
The Hunger Games (Book 1),Suzanne Collins,,32122,8,2011,Fiction,4.7
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,,16949,30,2011,Fiction,4.8
The Immortal Life of Henrietta Lacks,Rebecca Skloot,,9289,9,2011,Non Fiction,4.7
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,,4247,13,2011,Non Fiction,4.4
The Litigators,John Grisham,,6222,18,2011,Fiction,4.4
The Official SAT Study Guide,The College Board,,1201,40,2011,Non Fiction,4.4
The Paris Wife: A Novel,Paula McLain,,3759,16,2011,Fiction,4.3
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,,4290,10,2011,Fiction,4.8
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,,1463,10,2011,Fiction,4.7
"Thinking, Fast and Slow",Daniel Kahneman,,11034,19,2011,Non Fiction,4.6
Tina Fey: Bossypants,Tina Fey,,5977,12,2011,Non Fiction,4.3
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,,29673,16,2011,Non Fiction,4.8
Water for Elephants: A Novel,Sara Gruen,,8958,12,2011,Fiction,4.5
What to Expect When You're Expecting,Heidi Murkoff,,3341,9,2011,Non Fiction,4.4
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,,1296,24,2012,Non Fiction,4.8
Catching Fire (The Hunger Games),Suzanne Collins,,22614,11,2012,Fiction,4.7
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,,6346,9,2012,Non Fiction,4.5
Fifty Shades Darker,E L James,,23631,7,2012,Fiction,4.4
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,,20262,11,2012,Fiction,4.5
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,,47265,14,2012,Fiction,3.8
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,,13964,32,2012,Fiction,4.5
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,,5594,5,2012,Fiction,4.6
Gone Girl,Gillian Flynn,,57271,10,2012,Fiction,4.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,,3457,14,2012,Non Fiction,4.5
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,,7038,7,2012,Fiction,4.9
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,,15779,10,2012,Non Fiction,4.7
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,19576,8,2012,Non Fiction,4.9
Killing Kennedy: The End of Camelot,Bill O'Reilly,,8634,25,2012,Non Fiction,4.6
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,,9342,10,2012,Non Fiction,4.7
Mockingjay (The Hunger Games),Suzanne Collins,,26741,8,2012,Fiction,4.5
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,,8093,14,2012,Non Fiction,4.6
"Oh, the Places You'll Go!",Dr. Seuss,,21834,8,2012,Fiction,4.9
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,,3163,13,2012,Non Fiction,4.6
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,,13616,10,2012,Non Fiction,4.3
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,,8580,46,2012,Non Fiction,4.5
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,,10009,20,2012,Non Fiction,4.6
Steve Jobs,Walter Isaacson,,7827,20,2012,Non Fiction,4.6
StrengthsFinder 2.0,Gallup,,5069,17,2012,Non Fiction,4.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,,3477,28,2012,Non Fiction,4.7
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,9325,24,2012,Non Fiction,4.6
The Amateur,Edward Klein,,2580,9,2012,Non Fiction,4.6
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,,1789,14,2012,Non Fiction,4.2
The Casual Vacancy,J.K. Rowling,,9372,12,2012,Fiction,3.3
The Fault in Our Stars,John Green,,50482,13,2012,Fiction,4.7
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,3207,6,2012,Non Fiction,4.6
The Great Gatsby,F. Scott Fitzgerald,,11616,7,2012,Fiction,4.4
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,,11098,13,2012,Fiction,4.6
The Hunger Games (Book 1),Suzanne Collins,,32122,8,2012,Fiction,4.7
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,,16949,30,2012,Fiction,4.8
The Immortal Life of Henrietta Lacks,Rebecca Skloot,,9289,9,2012,Non Fiction,4.7
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,,4247,13,2012,Non Fiction,4.4
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,,6247,10,2012,Fiction,4.8
The Official SAT Study Guide,The College Board,,1201,40,2012,Non Fiction,4.4
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,,2876,21,2012,Non Fiction,4.8
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,,10795,21,2012,Non Fiction,4.6
The Racketeer,John Grisham,,14493,18,2012,Fiction,4.3
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,,2091,12,2012,Fiction,4.8
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,,6377,7,2012,Fiction,4.7
"Thinking, Fast and Slow",Daniel Kahneman,,11034,19,2012,Non Fiction,4.6
Thomas Jefferson: The Art of Power,Jon Meacham,,1904,23,2012,Non Fiction,4.5
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,,29673,16,2012,Non Fiction,4.8
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,,7497,6,2012,Non Fiction,4.4
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,,17044,18,2012,Non Fiction,4.4
Winter of the World: Book Two of the Century Trilogy,Ken Follett,,10760,15,2012,Fiction,4.5
Allegiant,Veronica Roth,,6310,13,2013,Fiction,3.9
And the Mountains Echoed,Khaled Hosseini,,12159,13,2013,Fiction,4.3
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,,1329,10,2013,Non Fiction,4.8
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,,4642,13,2013,Non Fiction,4.4
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,,6679,105,2013,Non Fiction,4.5
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,,6812,0,2013,Fiction,4.8
Divergent,Veronica Roth,,27098,15,2013,Fiction,4.6
Doctor Sleep: A Novel,Stephen King,,15845,13,2013,Fiction,4.7
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,,47265,14,2013,Fiction,3.8
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,,5594,5,2013,Fiction,4.6
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,,4799,16,2013,Non Fiction,4.6
Gone Girl,Gillian Flynn,,57271,10,2013,Fiction,4.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,,7038,7,2013,Fiction,4.9
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,,4148,11,2013,Non Fiction,4.8
Humans of New York,Brandon Stanton,,3490,15,2013,Non Fiction,4.8
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,,4896,17,2013,Non Fiction,4.7
Inferno,Dan Brown,,29651,14,2013,Fiction,4.1
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,19576,8,2013,Non Fiction,4.9
Joyland (Hard Case Crime),Stephen King,,4748,12,2013,Fiction,4.5
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,,11391,12,2013,Non Fiction,4.5
Knock-Knock Jokes for Kids,Rob Elliott,,3673,4,2013,Non Fiction,4.5
Laugh-Out-Loud Jokes for Kids,Rob Elliott,,6990,4,2013,Non Fiction,4.6
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,,6132,13,2013,Non Fiction,4.5
"Oh, the Places You'll Go!",Dr. Seuss,,21834,8,2013,Fiction,4.9
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,,13616,10,2013,Non Fiction,4.3
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,,8580,46,2013,Non Fiction,4.5
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,,10009,7,2013,Non Fiction,4.6
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,,7150,12,2013,Fiction,4.9
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,,2272,6,2013,Non Fiction,4.1
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,,220,17,2013,Non Fiction,4.6
StrengthsFinder 2.0,Gallup,,5069,17,2013,Non Fiction,4.0
Sycamore Row (Jake Brigance),John Grisham,,23114,18,2013,Fiction,4.5
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,,3477,28,2013,Non Fiction,4.7
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,,9325,24,2013,Non Fiction,4.6
The Book Thief,Markus Zusak,,23148,6,2013,Fiction,4.6
The Day the Crayons Quit,Drew Daywalt,,8922,9,2013,Fiction,4.8
The Fault in Our Stars,John Green,,50482,13,2013,Fiction,4.7
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,,3207,6,2013,Non Fiction,4.6
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,,23308,6,2013,Non Fiction,4.7
The Goldfinch: A Novel (Pulitzer Prize for Fiction),Donna Tartt,,33844,20,2013,Fiction,3.9
The Great Gatsby,F. Scott Fitzgerald,,11616,7,2013,Fiction,4.4
"The House of Hades (Heroes of Olympus, Book 4)",Rick Riordan,,6982,14,2013,Fiction,4.8
The Legend of Zelda: Hyrule Historia,Patrick Thorpe,,5396,20,2013,Fiction,4.9
The Official SAT Study Guide,The College Board,,1201,40,2013,Non Fiction,4.4
"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,,2663,17,2013,Non Fiction,4.8
The Very Hungry Caterpillar,Eric Carle,,19546,5,2013,Fiction,4.9
"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",Charles Krauthammer,,7034,15,2013,Non Fiction,4.7
To Kill a Mockingbird,Harper Lee,,26234,0,2013,Fiction,4.8
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,,7497,6,2013,Non Fiction,4.4
Wonder,R. J. Palacio,,21625,9,2013,Fiction,4.8
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,,19735,30,2014,Fiction,4.7
All the Light We Cannot See,Anthony Doerr,,36348,14,2014,Fiction,4.6
Capital in the Twenty First Century,Thomas Piketty,,2884,28,2014,Non Fiction,4.5
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,,6679,105,2014,Non Fiction,4.5
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,,6540,22,2014,Fiction,4.8
Divergent,Veronica Roth,,27098,15,2014,Fiction,4.6
Divergent / Insurgent,Veronica Roth,,17684,6,2014,Fiction,4.5
First 100 Words,Roger Priddy,,17323,4,2014,Non Fiction,4.7
Frozen (Little Golden Book),RH Disney,,3642,0,2014,Fiction,4.7
Gone Girl,Gillian Flynn,,57271,9,2014,Fiction,4.0
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",David Perlmutter MD,,5972,10,2014,Non Fiction,4.6
How to Win Friends & Influence People,Dale Carnegie,,25001,11,2014,Non Fiction,4.7
Humans of New York,Brandon Stanton,,3490,15,2014,Non Fiction,4.8
If I Stay,Gayle Forman,,7153,9,2014,Fiction,4.3
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,,19576,8,2014,Non Fiction,4.9
JOURNEY TO THE ICE P,RH Disney,,978,0,2014,Fiction,4.6
Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,,10927,6,2014,Non Fiction,4.6
Knock-Knock Jokes for Kids,Rob Elliott,,3673,4,2014,Non Fiction,4.5
Laugh-Out-Loud Jokes for Kids,Rob Elliott,,6990,4,2014,Non Fiction,4.6
Little Blue Truck,Alice Schertle,,1884,0,2014,Fiction,4.9
Looking for Alaska,John Green,,8491,7,2014,Fiction,4.5
Love You Forever,Robert Munsch,,18613,5,2014,Fiction,4.8
Make It Ahead: A Barefoot Contessa Cookbook,Ina Garten,,1386,20,2014,Non Fiction,4.5
Mindset: The New Psychology of Success,Carol S. Dweck,,5542,10,2014,Non Fiction,4.6
"Oh, the Places You'll Go!",Dr. Seuss,,21834,8,2014,Fiction,4.9
Orphan Train,Christina Baker Kline,,21930,11,2014,Fiction,4.6
